%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1581281231324490569,3518,1581281231323538064,magnetic_field,-0.1757,-0.0302,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281231349227166,3519,1581281231348376989,magnetic_field,-0.175,-0.0299,0.3455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281231375378551,3520,1581281231373477935,magnetic_field,-0.1753,-0.0288,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281231399512564,3521,1581281231398459672,magnetic_field,-0.1753,-0.0276,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281231424191531,3522,1581281231423412561,magnetic_field,-0.1753,-0.0288,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281231449141836,3523,1581281231448352575,magnetic_field,-0.175,-0.0299,0.3459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281231474081734,3524,1581281231473425149,magnetic_field,-0.1757,-0.0291,0.3454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281231499059216,3525,1581281231498366117,magnetic_field,-0.1757,-0.0291,0.3446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281231524170145,3526,1581281231523367881,magnetic_field,-0.1757,-0.0291,0.3442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281231549293805,3527,1581281231548327684,magnetic_field,-0.1747,-0.0292,0.3467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281231574279044,3528,1581281231573312044,magnetic_field,-0.1753,-0.028,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
